station,valid,metar
ZBAA,2023-01-01 00:00,ZBAA 010000Z 35003MPS CAVOK M10/M15 Q1036 NOSIG
ZBAA,2023-01-01 00:30,ZBAA 010030Z 35002MPS CAVOK M07/M13 Q1036 NOSIG
ZBAA,2023-01-01 01:00,ZBAA 010100Z 34004MPS CAVOK M04/M11 Q1037 NOSIG
ZBAA,2023-01-01 01:30,ZBAA 010130Z 35002MPS CAVOK M01/M12 Q1037 NOSIG
ZBAA,2023-01-01 02:00,ZBAA 010200Z 01003MPS CAVOK M00/M14 Q1037 NOSIG
ZBAA,2023-01-01 02:30,ZBAA 010230Z 02003MPS 350V050 CAVOK 01/M14 Q1037 NOSIG
ZBAA,2023-01-01 03:00,ZBAA 010300Z 02003MPS 340V060 CAVOK 01/M14 Q1037 NOSIG
ZBAA,2023-01-01 03:30,ZBAA 010330Z 04003MPS 010V070 CAVOK 02/M13 Q1037 NOSIG
ZBAA,2023-01-01 04:00,ZBAA 010400Z VRB01MPS CAVOK 03/M12 Q1036 NOSIG
ZBAA,2023-01-01 04:30,ZBAA 010430Z 35002MPS 290V020 CAVOK 04/M12 Q1036 NOSIG
ZBAA,2023-01-01 05:00,ZBAA 010500Z 03002MPS 340V080 CAVOK 04/M13 Q1035 NOSIG
ZBAA,2023-01-01 05:30,ZBAA 010530Z 02003MPS 330V070 CAVOK 04/M16 Q1035 NOSIG
ZBAA,2023-01-01 06:00,ZBAA 010600Z 02002MPS 350V070 CAVOK 04/M15 Q1035 NOSIG
ZBAA,2023-01-01 06:30,ZBAA 010630Z VRB02MPS CAVOK 05/M16 Q1034 NOSIG
ZBAA,2023-01-01 07:00,ZBAA 010700Z 04002MPS 340V070 CAVOK 05/M16 Q1034 NOSIG
ZBAA,2023-01-01 07:30,ZBAA 010730Z 02002MPS 350V050 CAVOK 04/M16 Q1035 NOSIG
ZBAA,2023-01-01 08:00,ZBAA 010800Z VRB01MPS CAVOK 05/M16 Q1035 NOSIG
ZBAA,2023-01-01 08:30,ZBAA 010830Z 03001MPS CAVOK 03/M16 Q1035 NOSIG
ZBAA,2023-01-01 09:00,ZBAA 010900Z 01001MPS CAVOK 00/M16 Q1035 NOSIG
ZBAA,2023-01-01 09:30,ZBAA 010930Z 33001MPS CAVOK M02/M15 Q1036 NOSIG
ZBAA,2023-01-01 10:00,ZBAA 011000Z VRB01MPS CAVOK M03/M14 Q1036 NOSIG
ZBAA,2023-01-01 10:30,ZBAA 011030Z 33002MPS CAVOK M05/M15 Q1037 NOSIG
ZBAA,2023-01-01 11:00,ZBAA 011100Z 34001MPS CAVOK M05/M14 Q1037 NOSIG
ZBAA,2023-01-01 11:30,ZBAA 011130Z VRB02MPS CAVOK M03/M13 Q1037 NOSIG
ZBAA,2023-01-01 12:00,ZBAA 011200Z 34002MPS CAVOK M06/M15 Q1037 NOSIG
ZBAA,2023-01-01 12:30,ZBAA 011230Z 36003MPS CAVOK M08/M15 Q1037 NOSIG
ZBAA,2023-01-01 13:00,ZBAA 011300Z 34003MPS CAVOK M07/M14 Q1038 NOSIG
ZBAA,2023-01-01 13:30,ZBAA 011330Z 34004MPS CAVOK M06/M14 Q1038 NOSIG
ZBAA,2023-01-01 14:00,ZBAA 011400Z 35002MPS CAVOK M06/M13 Q1038 NOSIG
ZBAA,2023-01-01 14:30,ZBAA 011430Z 03002MPS 360V060 CAVOK M04/M13 Q1038 NOSIG
ZBAA,2023-01-01 15:00,ZBAA 011500Z 01003MPS CAVOK M03/M14 Q1038 NOSIG
ZBAA,2023-01-01 15:30,ZBAA 011530Z 36003MPS CAVOK M05/M14 Q1039 NOSIG
ZBAA,2023-01-01 16:00,ZBAA 011600Z 01004MPS 350V050 CAVOK M02/M14 Q1039 NOSIG
ZBAA,2023-01-01 16:30,ZBAA 011630Z 02004MPS CAVOK M01/M15 Q1039 NOSIG
ZBAA,2023-01-01 17:00,ZBAA 011700Z 02004MPS CAVOK M02/M15 Q1039 NOSIG
ZBAA,2023-01-01 17:30,ZBAA 011730Z 02005MPS CAVOK M02/M15 Q1038 NOSIG
ZBAA,2023-01-01 18:00,ZBAA 011800Z 02004MPS CAVOK M02/M15 Q1038 NOSIG
ZBAA,2023-01-01 18:30,ZBAA 011830Z 02004MPS 350V050 CAVOK M02/M15 Q1038 NOSIG
ZBAA,2023-01-01 19:00,ZBAA 011900Z 02005MPS 350V050 CAVOK M03/M15 Q1038 NOSIG
ZBAA,2023-01-01 19:30,ZBAA 011930Z 02006MPS CAVOK M03/M16 Q1038 NOSIG
ZBAA,2023-01-01 20:00,ZBAA 012000Z 02005MPS CAVOK M03/M16 Q1038 NOSIG
ZBAA,2023-01-01 20:30,ZBAA 012030Z 02005MPS CAVOK M03/M16 Q1038 NOSIG
ZBAA,2023-01-01 21:00,ZBAA 012100Z 02006MPS CAVOK M03/M17 Q1038 NOSIG
ZBAA,2023-01-01 21:30,ZBAA 012130Z 01005MPS 350V050 CAVOK M04/M17 Q1038 NOSIG
ZBAA,2023-01-01 22:00,ZBAA 012200Z 02005MPS CAVOK M04/M17 Q1038 NOSIG
ZBAA,2023-01-01 22:30,ZBAA 012230Z 03006MPS 360V060 CAVOK M04/M17 Q1038 NOSIG
ZBAA,2023-01-01 23:00,ZBAA 012300Z 01005MPS 340V040 CAVOK M05/M17 Q1039 NOSIG
ZBAA,2023-01-01 23:30,ZBAA 012330Z 02005MPS 350V050 CAVOK M04/M17 Q1039 NOSIG
ZBAA,2023-01-02 00:00,ZBAA 020000Z 02005MPS CAVOK M04/M18 Q1040 NOSIG
ZBAA,2023-01-02 00:30,ZBAA 020030Z 02005MPS CAVOK M04/M18 Q1040 NOSIG
ZBAA,2023-01-02 01:00,ZBAA 020100Z 02005MPS CAVOK M03/M17 Q1039 NOSIG
ZBAA,2023-01-02 01:30,ZBAA 020130Z 03005MPS 360V060 CAVOK M03/M18 Q1039 NOSIG
ZBAA,2023-01-02 02:00,ZBAA 020200Z 02004MPS 340V070 CAVOK M02/M17 Q1040 NOSIG
