station,valid,metar
ZHHH,2019-01-01 00:00,ZHHH 010000Z VRB01MPS 4000 BR BKN040 M02/M03 Q1040 NOSIG
ZHHH,2019-01-01 01:00,ZHHH 010100Z 04002MPS 4000 BR SCT025 OVC040 M01/M03 Q1040 NOSIG
ZHHH,2019-01-01 02:00,ZHHH 010200Z VRB01MPS 7000 SCT025 OVC040 00/M03 Q1040 NOSIG
ZHHH,2019-01-01 03:00,ZHHH 010300Z 05003MPS 010V080 7000 SCT024 OVC040 01/M03 Q1040 NOSIG
ZHHH,2019-01-01 04:00,ZHHH 010400Z 08003MPS 050V140 9999 BKN030 01/M04 Q1039 NOSIG
ZHHH,2019-01-01 05:00,ZHHH 010500Z 08004MPS 030V100 9999 BKN030 02/M03 Q1037 NOSIG
ZHHH,2019-01-01 06:00,ZHHH 010600Z 11004MPS 9999 BKN030 02/M03 Q1036 NOSIG
ZHHH,2019-01-01 07:00,ZHHH 010700Z 12002MPS 060V160 9999 BKN030 02/M03 Q1036 NOSIG
ZHHH,2019-01-01 08:00,ZHHH 010800Z 14002MPS 100V190 9999 SCT023 02/M03 Q1037 NOSIG
ZHHH,2019-01-01 09:00,ZHHH 010900Z 17002MPS 9999 SCT023 02/M03 Q1037 NOSIG
ZHHH,2019-01-01 10:00,ZHHH 011000Z VRB01MPS CAVOK 02/M02 Q1037 NOSIG
ZHHH,2019-01-01 11:00,ZHHH 011100Z VRB01MPS CAVOK 02/M02 Q1037 NOSIG
ZHHH,2019-01-01 12:00,ZHHH 011200Z VRB01MPS CAVOK 01/M02 Q1037 NOSIG
ZHHH,2019-01-01 13:00,ZHHH 011300Z VRB01MPS CAVOK 01/M01 Q1037 NOSIG
ZHHH,2019-01-01 14:00,ZHHH 011400Z VRB01MPS CAVOK 01/M02 Q1038 NOSIG
ZHHH,2019-01-01 15:00,ZHHH 011500Z 24001MPS CAVOK 01/M02 Q1038 NOSIG
ZHHH,2019-01-01 16:00,ZHHH 011600Z 24002MPS CAVOK 01/M02 Q1038 NOSIG
ZHHH,2019-01-01 17:00,ZHHH 011700Z VRB01MPS CAVOK 01/M02 Q1038 NOSIG
ZHHH,2019-01-01 18:00,ZHHH 011800Z VRB01MPS 9999 SCT040 01/M01 Q1038 NOSIG
ZHHH,2019-01-01 19:00,ZHHH 011900Z 00000MPS 7000 SCT040 01/M02 Q1037 NOSIG
ZHHH,2019-01-01 20:00,ZHHH 012000Z 00000MPS 7000 SCT040 01/M01 Q1036 NOSIG
ZHHH,2019-01-01 21:00,ZHHH 012100Z 00000MPS 6000 OVC040 01/M01 Q1036 NOSIG
ZHHH,2019-01-01 22:00,ZHHH 012200Z 00000MPS 6000 OVC040 01/M01 Q1036 NOSIG
ZHHH,2019-01-01 23:00,ZHHH 012300Z 00000MPS 6000 OVC040 01/M01 Q1036 NOSIG
ZHHH,2019-01-02 00:00,ZHHH 020000Z VRB01MPS 4000 BR NSC 01/M01 Q1036 NOSIG
ZHHH,2019-01-02 01:00,ZHHH 020100Z VRB01MPS 5000 BR NSC 02/M01 Q1037 NOSIG
ZHHH,2019-01-02 02:00,ZHHH 020200Z VRB01MPS 5000 BR NSC 02/M01 Q1037 NOSIG
ZHHH,2019-01-02 03:00,ZHHH 020300Z VRB01MPS 5000 HZ NSC 03/M02 Q1036 NOSIG
ZHHH,2019-01-02 04:00,ZHHH 020400Z VRB01MPS 5000 HZ NSC 03/M01 Q1035 NOSIG
ZHHH,2019-01-02 05:00,ZHHH 020500Z VRB01MPS 4500 HZ NSC 04/M01 Q1034 NOSIG
ZHHH,2019-01-02 06:00,ZHHH 020600Z 23002MPS 180V260 4500 HZ NSC 04/M01 Q1033 NOSIG
ZHHH,2019-01-02 07:00,ZHHH 020700Z 26002MPS 220V300 4500 HZ SCT033 04/M00 Q1033 NOSIG
ZHHH,2019-01-02 08:00,ZHHH 020800Z VRB01MPS 4500 HZ SCT033 04/M01 Q1033 NOSIG
ZHHH,2019-01-02 09:00,ZHHH 020900Z 00000MPS 4500 HZ SCT033 04/M01 Q1033 NOSIG
ZHHH,2019-01-02 10:00,ZHHH 021000Z 11002MPS 070V140 5000 HZ FEW013 04/M01 Q1033 NOSIG
ZHHH,2019-01-02 11:00,ZHHH 021100Z 12002MPS 080V140 6000 FEW013 04/M01 Q1034 NOSIG
ZHHH,2019-01-02 12:00,ZHHH 021200Z 13002MPS 6000 FEW014 04/M01 Q1034 NOSIG
ZHHH,2019-01-02 13:00,ZHHH 021300Z VRB01MPS 5000 HZ SCT023 04/M00 Q1034 NOSIG
ZHHH,2019-01-02 14:00,ZHHH 021400Z 24001MPS 5000 BR FEW023 03/00 Q1034 NOSIG
ZHHH,2019-01-02 15:00,ZHHH 021500Z 25002MPS 5000 BR FEW023 03/00 Q1034 NOSIG
ZHHH,2019-01-02 16:00,ZHHH 021600Z 27001MPS 5000 BR NSC 03/01 Q1034 NOSIG
ZHHH,2019-01-02 17:00,ZHHH 021700Z 26001MPS 4500 BR NSC 03/01 Q1034 NOSIG
ZHHH,2019-01-02 18:00,ZHHH 021800Z 24001MPS 4500 BR FEW033 03/01 Q1034 NOSIG
ZHHH,2019-01-02 19:00,ZHHH 021900Z 00000MPS 4500 BR FEW033 03/01 Q1033 NOSIG
ZHHH,2019-01-02 20:00,ZHHH 022000Z 00000MPS 4500 BR FEW033 03/01 Q1033 NOSIG
ZHHH,2019-01-02 21:00,ZHHH 022100Z 04001MPS 4500 BR FEW033 02/01 Q1033 NOSIG
ZHHH,2019-01-02 22:00,ZHHH 022200Z 04001MPS 4000 BR FEW020 02/01 Q1032 NOSIG
ZHHH,2019-01-02 23:00,ZHHH 022300Z 12002MPS 090V150 4000 BR FEW020 03/00 Q1033 NOSIG
ZHHH,2019-01-03 00:00,ZHHH 030000Z 10002MPS 060V140 2500 BR FEW020 03/01 Q1033 BECMG TL0140 3000 BR
ZHHH,2019-01-03 01:00,ZHHH 030100Z 11002MPS 070V140 3000 BR NSC 04/01 Q1034 NOSIG
