station,valid,metar
ZGGG,2023-01-01 00:00,ZGGG 010000Z 36003MPS CAVOK 10/06 Q1027 NOSIG
ZGGG,2023-01-01 00:30,ZGGG 010030Z 36003MPS CAVOK 11/06 Q1027 NOSIG
ZGGG,2023-01-01 01:00,ZGGG 010100Z 36004MPS CAVOK 12/06 Q1027 NOSIG
ZGGG,2023-01-01 01:30,ZGGG 010130Z 36004MPS CAVOK 13/06 Q1027 NOSIG
ZGGG,2023-01-01 02:00,ZGGG 010200Z 36003MPS 320V030 CAVOK 13/06 Q1027 NOSIG
ZGGG,2023-01-01 02:30,ZGGG 010230Z 34004MPS CAVOK 14/07 Q1027 NOSIG
ZGGG,2023-01-01 03:00,ZGGG 010300Z 32003MPS 290V010 CAVOK 15/07 Q1027 NOSIG
ZGGG,2023-01-01 03:30,ZGGG 010330Z 33003MPS 270V010 CAVOK 15/07 Q1026 NOSIG
ZGGG,2023-01-01 04:00,ZGGG 010400Z VRB03MPS CAVOK 17/08 Q1026 NOSIG
ZGGG,2023-01-01 04:30,ZGGG 010430Z VRB03MPS CAVOK 16/08 Q1025 NOSIG
ZGGG,2023-01-01 05:00,ZGGG 010500Z 35003MPS 320V050 CAVOK 17/08 Q1024 NOSIG
ZGGG,2023-01-01 05:30,ZGGG 010530Z 33004MPS 300V010 CAVOK 18/09 Q1023 NOSIG
ZGGG,2023-01-01 06:00,ZGGG 010600Z 34003MPS 270V050 CAVOK 19/08 Q1023 NOSIG
ZGGG,2023-01-01 06:30,ZGGG 010630Z 34003MPS 270V040 CAVOK 19/09 Q1022 NOSIG
ZGGG,2023-01-01 07:00,ZGGG 010700Z VRB02MPS CAVOK 19/09 Q1022 NOSIG
ZGGG,2023-01-01 07:30,ZGGG 010730Z VRB02MPS CAVOK 20/09 Q1022 NOSIG
ZGGG,2023-01-01 08:00,ZGGG 010800Z 34003MPS 290V030 CAVOK 20/09 Q1022 NOSIG
ZGGG,2023-01-01 08:30,ZGGG 010830Z 32004MPS CAVOK 19/09 Q1022 NOSIG
ZGGG,2023-01-01 09:00,ZGGG 010900Z 32004MPS 290V350 CAVOK 19/09 Q1022 NOSIG
ZGGG,2023-01-01 09:30,ZGGG 010930Z 34004MPS CAVOK 18/09 Q1022 NOSIG
ZGGG,2023-01-01 10:00,ZGGG 011000Z 36004MPS CAVOK 17/09 Q1022 NOSIG
ZGGG,2023-01-01 10:30,ZGGG 011030Z 34004MPS CAVOK 17/09 Q1023 NOSIG
ZGGG,2023-01-01 11:00,ZGGG 011100Z 33004MPS CAVOK 17/09 Q1023 NOSIG
ZGGG,2023-01-01 11:30,ZGGG 011130Z 33005MPS CAVOK 17/09 Q1023 NOSIG
ZGGG,2023-01-01 12:00,ZGGG 011200Z 34004MPS CAVOK 16/09 Q1024 NOSIG
ZGGG,2023-01-01 12:30,ZGGG 011230Z 33004MPS CAVOK 16/09 Q1024 NOSIG
ZGGG,2023-01-01 13:00,ZGGG 011300Z 33004MPS CAVOK 16/09 Q1024 NOSIG
ZGGG,2023-01-01 13:30,ZGGG 011330Z 33003MPS CAVOK 16/09 Q1025 NOSIG
ZGGG,2023-01-01 14:00,ZGGG 011400Z 34004MPS CAVOK 16/09 Q1025 NOSIG
ZGGG,2023-01-01 14:30,ZGGG 011430Z 35004MPS CAVOK 15/08 Q1025 NOSIG
ZGGG,2023-01-01 15:00,ZGGG 011500Z 34004MPS CAVOK 15/08 Q1025 NOSIG
ZGGG,2023-01-01 15:30,ZGGG 011530Z 34004MPS CAVOK 15/08 Q1025 NOSIG
ZGGG,2023-01-01 16:00,ZGGG 011600Z 34004MPS CAVOK 15/08 Q1025 NOSIG
ZGGG,2023-01-01 16:30,ZGGG 011630Z 33004MPS CAVOK 15/08 Q1025 NOSIG
ZGGG,2023-01-01 17:00,ZGGG 011700Z 34003MPS CAVOK 15/08 Q1024 NOSIG
ZGGG,2023-01-01 17:30,ZGGG 011730Z 33004MPS CAVOK 15/08 Q1025 NOSIG
ZGGG,2023-01-01 18:00,ZGGG 011800Z 32004MPS CAVOK 14/08 Q1024 NOSIG
ZGGG,2023-01-01 18:30,ZGGG 011830Z 34004MPS CAVOK 14/08 Q1024 NOSIG
ZGGG,2023-01-01 19:00,ZGGG 011900Z 36004MPS CAVOK 14/08 Q1024 NOSIG
ZGGG,2023-01-01 19:30,ZGGG 011930Z 34004MPS CAVOK 13/08 Q1024 NOSIG
ZGGG,2023-01-01 20:00,ZGGG 012000Z 32004MPS CAVOK 13/08 Q1024 NOSIG
ZGGG,2023-01-01 20:30,ZGGG 012030Z 34005MPS CAVOK 13/08 Q1024 NOSIG
ZGGG,2023-01-01 21:00,ZGGG 012100Z 33004MPS CAVOK 13/08 Q1024 NOSIG
ZGGG,2023-01-01 21:30,ZGGG 012130Z 34005MPS CAVOK 13/08 Q1025 NOSIG
ZGGG,2023-01-01 22:00,ZGGG 012200Z 35004MPS CAVOK 12/08 Q1025 NOSIG
ZGGG,2023-01-01 22:30,ZGGG 012230Z 34004MPS CAVOK 12/07 Q1025 NOSIG
ZGGG,2023-01-01 23:00,ZGGG 012300Z 34004MPS CAVOK 12/07 Q1025 NOSIG
ZGGG,2023-01-01 23:30,ZGGG 012330Z 35004MPS CAVOK 12/08 Q1026 NOSIG
ZGGG,2023-01-02 00:00,ZGGG 020000Z 02006MPS CAVOK 13/07 Q1026 NOSIG
ZGGG,2023-01-02 00:30,ZGGG 020030Z 36005MPS CAVOK 14/08 Q1026 NOSIG
ZGGG,2023-01-02 01:00,ZGGG 020100Z 01005MPS CAVOK 14/08 Q1027 NOSIG
ZGGG,2023-01-02 01:30,ZGGG 020130Z 02004MPS CAVOK 14/08 Q1027 NOSIG
ZGGG,2023-01-02 02:00,ZGGG 020200Z 02005MPS CAVOK 15/08 Q1027 NOSIG
ZGGG,2023-01-02 02:30,ZGGG 020230Z 01007MPS CAVOK 16/08 Q1027 NOSIG
ZGGG,2023-01-02 03:00,ZGGG 020300Z 02006MPS CAVOK 17/09 Q1026 NOSIG
ZGGG,2023-01-02 03:30,ZGGG 020330Z 35006MPS CAVOK 17/09 Q1026 NOSIG
ZGGG,2023-01-02 04:00,ZGGG 020400Z 02005G11MPS 340V050 CAVOK 17/09 Q1026 NOSIG
ZGGG,2023-01-02 04:30,ZGGG 020430Z 02007MPS CAVOK 18/09 Q1025 NOSIG
ZGGG,2023-01-02 05:00,ZGGG 020500Z 03005MPS CAVOK 18/10 Q1024 NOSIG
