station,valid,metar
ZBYN,2003-01-01 00:00,ZBYN 010000Z 13001MPS 3000 R31/0900N BR SKC M18/M21 Q1029 NOSIG
ZBYN,2003-01-01 01:00,ZBYN 010100Z 00000MPS 2000 R31/0700N BR SKC M15/M18 Q1030 NOSIG
ZBYN,2003-01-01 02:00,ZBYN 010200Z 00000MPS 2000 R31/0750N BR SKC M13/M16 Q1030 NOSIG
ZBYN,2003-01-01 03:00,ZBYN 010300Z 00000MPS 2200 R31/1200 FU SKC M09/M15 Q1030 NOSIG
ZBYN,2003-01-01 04:00,ZBYN 010400Z 02001MPS 3000 FU SKC M06/M14 Q1028 NOSIG
ZBYN,2003-01-01 05:00,ZBYN 010500Z 31001MPS 6000 NSC M04/M14 Q1027 NOSIG
ZBYN,2003-01-01 06:00,ZBYN 010600Z VRB01MPS 3000 R31/1400 FU SKC M02/M13 Q1026 NOSIG
ZBYN,2003-01-01 07:00,ZBYN 010700Z 19002MPS 2000 FU SKC M01/M11 Q1025 NOSIG
ZBYN,2003-01-01 08:00,ZBYN 010800Z 20002MPS 4000 FU NSC M03/M11 Q1025 NOSIG
ZBYN,2003-01-01 09:00,ZBYN 010900Z 20001MPS 3000 FU NSC M04/M12 Q1025 NOSIG
ZBYN,2003-01-01 10:00,ZBYN 011000Z 19001MPS 3000 BR NSC M07/M11 Q1026 NOSIG
ZBYN,2003-01-01 11:00,ZBYN 011100Z 00000MPS 3000 R31/1100 BR NSC M08/M12 Q1027 NOSIG
ZBYN,2003-01-01 12:00,ZBYN 011200Z 12002MPS 3000 R31/0900N BR NSC M07/M11 Q1028 NOSIG
ZBYN,2003-01-01 13:00,ZBYN 011300Z 12002MPS 3000 BR NSC M09/M12 Q1028 NOSIG
ZBYN,2003-01-01 14:00,ZBYN 011400Z 12002MPS 3000 BR NSC M08/M12 Q1028 NOSIG
ZBYN,2003-01-01 15:00,ZBYN 011500Z 09001MPS 3000 R31/1000N BR NSC M08/M11 Q1028 NOSIG
ZBYN,2003-01-01 16:00,ZBYN 011600Z 12001MPS 3000 BR NSC M08/M12 Q1027 NOSIG
ZBYN,2003-01-01 17:00,ZBYN 011700Z 12002MPS 3000 BR NSC M09/M13 Q1027
ZBYN,2003-01-01 18:00,ZBYN 011800Z 00000MPS 3000 BR NSC M09/M12 Q1027
ZBYN,2003-01-01 19:00,ZBYN 011900Z 11001MPS 3000 BR NSC M09/M12 Q1027 NOSIG
ZBYN,2003-01-01 20:00,ZBYN 012000Z 08001MPS 5000 R31/1400N BR NSC M09/M13 Q1027
